file,component,category,pattern,line,evidence
AboutDialog.cpp,Other,callbacks_events,\bEVT_,304,"EVT_BUTTON(wxID_OK, AboutDialog::OnOK)"
AboutDialog.cpp,Other,state_transitions,\bCommit\b,531,"AddBuildinfoRow(&informationStr, XO(""Commit Id:""), REV_IDENT);"
AdornedRulerPanel.cpp,Other,callbacks_events,\bCallAfter\b,1356,this->CallAfter(&AdornedRulerPanel::UpdatePrefs);
AdornedRulerPanel.cpp,Other,callbacks_events,\bCallAfter\b,1379,CallAfter([this]{ CellularPanel::HandleCursorForPresentMouseState(); });
AdornedRulerPanel.cpp,Other,callbacks_events,\bCallAfter\b,1641,CallAfter([this]{
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,721,EVT_IDLE(AdornedRulerPanel::OnIdle)
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,722,EVT_PAINT(AdornedRulerPanel::OnPaint)
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,723,EVT_SIZE(AdornedRulerPanel::OnSize)
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,724,EVT_LEAVE_WINDOW(AdornedRulerPanel::OnLeave)
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,727,"EVT_MENU(OnMinutesAndSecondsID, AdornedRulerPanel::OnTimelineFormatChange)"
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,728,"EVT_MENU(OnBeatsAndMeasuresID, AdornedRulerPanel::OnTimelineFormatChange)"
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,729,"EVT_MENU(OnSyncQuickPlaySelID, AdornedRulerPanel::OnSyncSelToQuickPlay)"
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,730,"EVT_MENU(OnAutoScrollID, AdornedRulerPanel::OnAutoScroll)"
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,731,"EVT_MENU(OnTogglePlayRegionID, AdornedRulerPanel::OnTogglePlayRegion)"
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,732,"EVT_MENU(OnClearPlayRegionID, AdornedRulerPanel::OnClearPlayRegion)"
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,733,"EVT_MENU(OnSetPlayRegionToSelectionID,"
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,735,"EVT_MENU(OnTogglePinnedStateID, AdornedRulerPanel::OnTogglePinnedState)"
AdornedRulerPanel.cpp,Other,callbacks_events,\bEVT_,737,"EVT_COMMAND(OnTogglePinnedStateID,"
AdornedRulerPanel.cpp,Other,callbacks_events,\bcallback\b,2146,// callback may change the play region back to the selection
AdornedRulerPanel.cpp,Other,audio_stream_control,\bAudioIO\b,29,"#include ""AudioIO.h"""
